Aapo;M
Aaro;M
Aaron;M
Aarre;M
Aatos;M
Aatto;M
Ab;M
Abaddon;M
Abba;M
Abban;M
Abbas;M
Abbe;N
Abbey;N
Abbie;N
Abbot;M
Abbott;M
Abby;N
Abdel;M
Abdi;M
Abdiel;M
Abdul;M
Abdulbaki;M
Abdulkadir;M
Abdullah;M
Abdurrahim;M
Abdurrahman;M
Abe;M
Abednego;M
Abejundio;M
Abel;M
Abelard;M
Abeu;M
Abey;N
Abidan;M
Abie;M
Abiel;M
Abijah;M
Abimael;M
Abiona;N
Abiram;M
Abisai;M
Abishai;M
Abner;M
Abraham;M
Abrahan;M
Abram;M
Abramo;M
Abran;M
Abrasha;M
Abraxas;M
Absalom;M
Absalon;M
Acacio;M
Acacius;M
Acar;M
Achaicus;M
Achan;M
Achaz;M
Achill;M
Achilles;M
Achilléas;M
Achim;M
Achmed;M
Ackerley;M
Ackley;M
Ad;M
Ada;N
Adair;M
Adalbert;M
Adalwin;M
Adam;M
Adamnan;M
Adamo;M
Adams;M
Adamántios;M
Adan;N
Addai;M
Addie;N
Addison;N
Addo;M
Addy;N
Ade;M
Adelbert;M
Adelmus;M
Adelphos;M
Adem;M
Aden;M
Adham;M
Adigüzel;M
Adil;M
Adino;M
Adiran;M
Adis;M
Aditya;M
Adlai;M
Adler;M
Adley;M
Admes;M
Admon;M
Adnan;M
Ado;M
Adolf;M
Adolfo;M
Adolph;M
Adolphe;M
Adolpho;M
Adolphus;M
Adom;M
Adon;M
Adonijah;M
Adonis;M
Adran;M
Adrastos;M
Adriaen;M
Adrian;N
Adriano;M
Adrianós;M
Adriel;M
Adrien;M
Adrik;M
Adám;M
Aegidius;M
Aeneas;M
Aesop;M
Aetos;M
Afsar;M
Agabo;M
Agamemnon;M
Agamémnon;M
Agapito;M
Agathoklís;M
Agathónikos;M
Agatone;M
Agelaos;M
Agenor;M
Aggélis;M
Agid;M
Agisílaos;M
Agnolo;M
Agostino;M
Agosto;M
Agrippa;N
Agu;M
Aguie;M
Aguistin;M
Aguste;M
Agustin;M
Agápios;M
Ahab;M
Aharon;M
Ahearn;M
Ahmad;M
Ahmed;M
Ahmet;M
Ahmik;M
Ahren;M
Ahu;M
Aidan;N
Aiden;M
Aigeus;M
Aigéas;M
Aigéfs;M
Ailbert;M
Aimery;M
Aimilianós;M
Aimo;M
Aimílios;M
Ainías;M
Aitan;M
Ajax;M
Akando;M
Akello;M
Akgün;M
Aki;N
Akil;M
Akim;M
Akin;M
Akio;M
Akiro;M
Akron;M
Aksel;M
Akseli;M
Akshay;M
Aktan;M
Aktekin;M
Aku;M
Akákios;M
Al;M
Aladar;M
Aladin;M
Alain;M
Alair;M
Alajos;M
Alan;M
Aland;M
Alanic;M
Alano;M
Alanson;M
Alard;M
Alaric;M
Alasdair;M
Alastair;M
Alastar;M
Alasteir;M
Alaster;M
Albain;M
Alban;M
Alberich;M
Alberik;M
Albert;M
Alberto;M
Albie;M
Albin;M
Albinus;M
