aapo;M
aaro;M
aaron;M
aarre;M
aatos;M
aatto;M
ab;M
abaddon;M
abba;M
abban;M
abbas;M
abbe;N
abbey;N
abbie;N
abbot;M
abbott;M
abby;N
abdel;M
abdi;M
abdiel;M
abdul;M
abdulbaki;M
abdulkadir;M
abdullah;M
abdurrahim;M
abdurrahman;M
abe;M
abednego;M
abejundio;M
abel;M
abelard;M
abeu;M
abey;N
abidan;M
abie;M
abiel;M
abijah;M
abimael;M
abiona;N
abiram;M
abisai;M
abishai;M
abner;M
abraham;M
abrahan;M
abram;M
abramo;M
abran;M
abrasha;M
abraxas;M
absalom;M
absalon;M
acacio;M
acacius;M
acar;M
achaicus;M
achan;M
achaz;M
achill;M
achilles;M
achilléas;M
achim;M
achmed;M
ackerley;M
ackley;M
ad;M
ada;N
adair;M
adalbert;M
adalwin;M
adam;M
adamnan;M
adamo;M
adams;M
adamántios;M
adan;N
addai;M
addie;N
addison;N
addo;M
addy;N
ade;M
adelbert;M
adelmus;M
adelphos;M
adem;M
aden;M
adham;M
adigüzel;M
adil;M
adino;M
adiran;M
adis;M
aditya;M
adlai;M
adler;M
adley;M
admes;M
admon;M
adnan;M
ado;M
adolf;M
adolfo;M
adolph;M
adolphe;M
adolpho;M
adolphus;M
adom;M
adon;M
adonijah;M
adonis;M
adran;M
adrastos;M
adriaen;M
adrian;N
adriano;M
adrianós;M
adriel;M
adrien;M
adrik;M
adám;M
aegidius;M
aeneas;M
aesop;M
aetos;M
afsar;M
agabo;M
agamemnon;M
agamémnon;M
agapito;M
agathoklís;M
agathónikos;M
agatone;M
agelaos;M
agenor;M
aggélis;M
agid;M
agisílaos;M
agnolo;M
agostino;M
agosto;M
agrippa;N
agu;M
aguie;M
aguistin;M
aguste;M
agustin;M
agápios;M
ahab;M
aharon;M
ahearn;M
ahmad;M
ahmed;M
ahmet;M
ahmik;M
ahren;M
ahu;M
aidan;N
aiden;M
aigeus;M
aigéas;M
aigéfs;M
ailbert;M
aimery;M
aimilianós;M
aimo;M
aimílios;M
ainías;M
aitan;M
ajax;M
akando;M
akello;M
akgün;M
aki;N
akil;M
akim;M
akin;M
akio;M
akiro;M
akron;M
aksel;M
akseli;M
akshay;M
aktan;M
aktekin;M
aku;M
akákios;M
al;M
aladar;M
aladin;M
alain;M
alair;M
alajos;M
alan;M
aland;M
alanic;M
alano;M
alanson;M
alard;M
alaric;M
alasdair;M
alastair;M
alastar;M
alasteir;M
alaster;M
albain;M
alban;M
alberich;M
alberik;M
albert;M
alberto;M
albie;M
albin;M
albinus;M
alborn;M
albrecht;M
albwin;M
alcander;M
alcott;M
alden;M
aldin;M
aldis;M
aldo;M
aldon;M
aldous;M
aldric;M
aldrich;M
aldridge;M
aldus;M
aldwin;M
alec;M
aleister;M
alejandro;M
alejoa;M
alek;M
aleksandar;M
aleksander;M
aleksandr;M
aleksanteri;M
aleksej;M
aleksi;M
aleksis;M
aleksy;M
alemdar;M
alen;M
aleron;M
alessandro;M
